,title,description,originallink,link,pubDate
781,"[사진]<b>최예나</b>, &apos;앗! 미모에 눈부셔&apos;",가수 <b>최예나</b>의 두 번째 미니앨범 &apos;스마트폰&apos; 발매 기념 쇼케이스가 3일 오후 서울 광진구 예스24... 현시대를 <b>최예나</b>의 시선으로 재기발랄하게 표현했다. 특히 폭발하는 후렴구의 멜로디가 <b>최예나</b>의 에너지 넘치는 보컬과... ,http://www.osen.co.kr/article/G1111911258,https://n.news.naver.com/mnews/article/109/0004671262?sid=106,"Wed, 03 Aug 2022 20:19:00 +0900"
782,"[사진]<b>최예나</b>, 예나라면 무조건 &apos;YES&apos;",가수 <b>최예나</b>의 두 번째 미니앨범 &apos;스마트폰&apos; 발매 기념 쇼케이스가 3일 오후 서울 광진구 예스24... 현시대를 <b>최예나</b>의 시선으로 재기발랄하게 표현했다. 특히 폭발하는 후렴구의 멜로디가 <b>최예나</b>의 에너지 넘치는 보컬과... ,http://www.osen.co.kr/article/G1111911254,https://n.news.naver.com/mnews/article/109/0004671259?sid=106,"Wed, 03 Aug 2022 20:15:00 +0900"
783,"[사진]<b>최예나</b>, &apos;화살 두 방으로 동반 저격&apos;",가수 <b>최예나</b>의 두 번째 미니앨범 &apos;스마트폰&apos; 발매 기념 쇼케이스가 3일 오후 서울 광진구 예스24... 현시대를 <b>최예나</b>의 시선으로 재기발랄하게 표현했다. 특히 폭발하는 후렴구의 멜로디가 <b>최예나</b>의 에너지 넘치는 보컬과... ,http://www.osen.co.kr/article/G1111911250,https://n.news.naver.com/mnews/article/109/0004671255?sid=106,"Wed, 03 Aug 2022 20:14:00 +0900"
784,"[사진]<b>최예나</b>, &apos;사랑스러운 표정 부자&apos;",가수 <b>최예나</b>의 두 번째 미니앨범 &apos;스마트폰&apos; 발매 기념 쇼케이스가 3일 오후 서울 광진구 예스24... 현시대를 <b>최예나</b>의 시선으로 재기발랄하게 표현했다. 특히 폭발하는 후렴구의 멜로디가 <b>최예나</b>의 에너지 넘치는 보컬과... ,http://www.osen.co.kr/article/G1111911246,https://n.news.naver.com/mnews/article/109/0004671250?sid=106,"Wed, 03 Aug 2022 20:12:00 +0900"
785,"[사진]<b>최예나</b>, &apos;저세상 귀여움&apos;",가수 <b>최예나</b>의 두 번째 미니앨범 &apos;스마트폰&apos; 발매 기념 쇼케이스가 3일 오후 서울 광진구 예스24... 현시대를 <b>최예나</b>의 시선으로 재기발랄하게 표현했다. 특히 폭발하는 후렴구의 멜로디가 <b>최예나</b>의 에너지 넘치는 보컬과... ,http://www.osen.co.kr/article/G1111911243,https://n.news.naver.com/mnews/article/109/0004671247?sid=106,"Wed, 03 Aug 2022 20:10:00 +0900"
786,"[사진]<b>최예나</b>, &apos;과즙미 발산&apos;",가수 <b>최예나</b>의 두 번째 미니앨범 &apos;스마트폰&apos; 발매 기념 쇼케이스가 3일 오후 서울 광진구 예스24... 현시대를 <b>최예나</b>의 시선으로 재기발랄하게 표현했다. 특히 폭발하는 후렴구의 멜로디가 <b>최예나</b>의 에너지 넘치는 보컬과... ,http://www.osen.co.kr/article/G1111911241,https://n.news.naver.com/mnews/article/109/0004671244?sid=106,"Wed, 03 Aug 2022 20:09:00 +0900"
787,"[사진]<b>최예나</b>, &apos;뽀삐 어루만지듯~&apos;",가수 <b>최예나</b>의 두 번째 미니앨범 &apos;스마트폰&apos; 발매 기념 쇼케이스가 3일 오후 서울 광진구 예스24... 현시대를 <b>최예나</b>의 시선으로 재기발랄하게 표현했다. 특히 폭발하는 후렴구의 멜로디가 <b>최예나</b>의 에너지 넘치는 보컬과... ,http://www.osen.co.kr/article/G1111911236,https://n.news.naver.com/mnews/article/109/0004671239?sid=106,"Wed, 03 Aug 2022 20:08:00 +0900"
788,"[영상] <b>최예나</b>, &apos;차세대 섬머퀸은 나!&apos;","가수 <b>최예나</b>의 두 번째 미니앨범 &apos;SMARTPHONE&apos; 발매 기념 오프라인 미디어 쇼케이스가 3일 오후 서울시 광진구 광장동 예스24 라이브홀에서 진행되었다. <b>최예나</b>가 참석해 포토타임을 가지고 있다. 한편, <b>최예나</b>는... ",http://www.psnews.co.kr/news/articleView.html?idxno=2012256,http://www.psnews.co.kr/news/articleView.html?idxno=2012256,"Wed, 03 Aug 2022 20:04:00 +0900"
789,"[영상] <b>최예나</b>, &apos;WithOrWithOut&apos; 무대",가수 <b>최예나</b>의 두 번째 미니앨범 &apos;SMARTPHONE&apos; 발매 기념 오프라인 미디어 쇼케이스가 3일 오후 서울시 광진구 광장동 예스24 라이브홀에서 진행되었다. <b>최예나</b>가 참석해 수록곡 &apos;WithOrWithOut&apos; 무대를... ,http://www.psnews.co.kr/news/articleView.html?idxno=2012255,http://www.psnews.co.kr/news/articleView.html?idxno=2012255,"Wed, 03 Aug 2022 20:04:00 +0900"
790,"[사진]&quot;나도 폴더폰 세대&quot; <b>최예나</b>, &apos;손동작 보니 맞네&apos;",가수 <b>최예나</b>의 두 번째 미니앨범 &apos;스마트폰&apos; 발매 기념 쇼케이스가 3일 오후 서울 광진구 예스24... 현시대를 <b>최예나</b>의 시선으로 재기발랄하게 표현했다. 특히 폭발하는 후렴구의 멜로디가 <b>최예나</b>의 에너지 넘치는 보컬과... ,http://www.osen.co.kr/article/G1111911232,https://n.news.naver.com/mnews/article/109/0004671235?sid=106,"Wed, 03 Aug 2022 20:04:00 +0900"
